faculty,code,title,description,docID
ADM,2320,Marketing,"Focus on the evolution of the marketing concept, segmentation and positioning, strategic decisions involving product, price, distribution and promotion, important environmental variables affecting marketing decision-making, as well as marketing planning and ethical issues.",ADM2320
ADM,2336,Organizational Behaviour,"Concepts and approaches for diagnosing and predicting events in organizations. Work motivation, job satisfaction and performance, group dynamics, leadership, decision-making, power, conflict and culture.",ADM2336
ADM,2337,Human Resource Management,"Policies and practices relating to job analysis, human resource planning, staffing, performance appraisal, training and development, wage and salary administration, and collective bargaining.",ADM2337
ADM,2341,Managerial Accounting,"This course introduces students to the role of management accounting, as distinct from financial accounting, in the decision-making process. Major topics include: the determination of the costs of products and services, cost behaviour, relevant costs, standard costs, budgeting, responsibility accounting and cost allocation. All topics are approached in a management context in order to give the student an appreciation of the value of the various techniques available for the analysis and solution of problems faced by managers.",ADM2341
ADM,2342,Intermediate Accounting I,"This course extends, at a more advanced level, the material covered in ADM 1340. Concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the assets of an organization. In conjunction with ADM 3340, it enhances the student's understanding of accounting practices and financial reporting.",ADM2342
ADM,2350,Financial Management,"Financial environment and markets, concepts of valuation, risk and return, cost of capital, capital budgeting under certainty, long-term financing, working capital management, and short-term financing.",ADM2350
ADM,2352,Finance Theory,"Key theoretical paradigms of modern finance. Arbitrage, expected utility, risk aversion, trade-offs between risk and return, behavioural and the concepts of prospect theory, framing, mental accounting, agency relationships, and information asymmetry.",ADM2352
ADM,2372,Management Information Systems,"Introduction to management information systems, their underlying infrastructure and technology, and their impacts on organizations and individuals. Applications of information systems at the operational and decision making levels. Electronic business. Ethical and legal issues. Security and quality issues. Advanced topics including knowledge management and business intelligence.",ADM2372
ADM,2381,Business Communication Skills,"Develop effective written and oral business communication skills.  Emphasis will be on quality in business written communications; strategies for planning and implementing effective communication to different audiences, including oral communication and presentations in front of an audience.",ADM2381
ADM,3301,Operations Management,"Nature and context of Operations Management for the manufacturing and service sectors.  Operations strategy and competitiveness.  Introduction to supply chain management: supply chain strategy and design, just-in-time systems.  Planning, managing and controlling operations: forecasting, aggregate planning, inventory control, Material Requirements Planning and introduction to Enterprise Requirement Planning.  Introduction to quality management and control.",ADM3301
ADM,3302,Supply Chain Management,"Study of supply chain management and of its impact on the competitive success and profitability of modern organizations. The integration of information and materials flows across multiple organizations. The roles of business logistics functions, including forecasting and planning, procurement, purchasing, inventory management, warehousing and materials handling, transportation management, and after sales service and customer relationships in the integrated supply chain. Issues of global logistics and reverse logistics.",ADM3302
ADM,3305,Business Simulation Analytics,"Advanced prescriptive analytics introducing simulation modeling of complex problems that include both deterministic and probabilistic elements. Students will get hands-on experience with simulation and decision modeling and formulation, software and results interpretation skills.",ADM3305
ADM,3308,Business Data Mining,"Introduction to the data mining process, data mining tasks including classification, clustering and association rules, as well as data mining modeling techniques such as decision trees, neural networks, and regression analysis. Introduction to the management of Big Data and Big Data Analytics. Examples in various managerial applications including Customer Relationship Management, marketing, sales, credit scoring, churn, and survival analysis.",ADM3308
ADM,3313,New Venture Creation,"Ideation, business modeling and validation; the business planning process, including: market evaluation and the marketing plan, physical, human resources and organizational planning, and the financial plan. Student projects in moving an actual business concept through the process from idea to plan, including: crafting a business idea; building a business model; implementing a validation plan; and, writing a business plan.",ADM3313
ADM,3316,Competitive Intelligence,"Main elements of competitive intelligence and understanding of fundamental issues.  Concepts of competitive intelligence, market insight, foresight, peripheral vision and analytics will be used to better understand and use relevant commercial information.",ADM3316
ADM,3317,"The Global Context of Business: Merchants, Traders, Capitalists and Profit Seekers","Examines and evaluates the practices of merchants, traders, entrepreneurs, financiers, marketers and profit seekers of the 15th to the 19th centuries who contributed to the development of global business and trade. Emphasizes the dynamic intertwining of markets and their social, technological, political, economic and cultural context via the analysis and discussion of case studies, readings and other sources.",ADM3317
ADM,3318,International Business,"Study of the changing international business environment, from a competitive and economic perspective. With a regional and a global approach, trade patterns, the role of international institutions (IMF, WTO, CNUCED, etc.) and trading blocks (EU, NAFTA, APEC, etc.) are analyzed. Questions related to ethics, environmental issues and corporate responsibility are also considered.",ADM3318
ADM,3319,Cross-Cultural Management,"Diagnostic of intercultural situations in international contexts. Theoretical aspects of various disciplines linked to comparative management.  Concepts of culture, values, behaviour, intercultural communication and their relation to the dynamics of management, organizational structure, human resources, technology transfer, ethics in an intercultural context.  The intercultural team and synergy. Profile of the interculturally effective person.  The feminine entrepreneurship in international management. Monograph on the socio-political situation and the business culture of various countries.  Enterprise and Canadian diversity, Charter of Human Rights and Freedoms, legislation and policies on multiculturalism. Acculturation.",ADM3319
ADM,3321,Consumer Behaviour,"Synthesis of the behavioural analysis of the consumer (psychology, sociology, social psychology). Recent applications of behavioural theory will be investigated in light of the consumer's behaviour, individually and as mediated by group processes. Behavioural impact of the corporate and marketing strategies on the consumer.",ADM3321
ADM,3322,Services Marketing,"Concepts and decisions involved with marketing of services.  It concerns specific service industries (i.e. tourism, financial) and firms that primarily sell goods that include services (i.e. computers). Special attention is given to service quality in the profit and non-profit context.",ADM3322
ADM,3323,Market Research,"Review of exploratory, descriptive, and causal research methods such as interviews and focus groups, surveys, and experiments. Topics include: sample selection, the gathering, analysis and interpretation of market-related data, study of multivariate data analysis techniques, investigation of relevant applied market research topics.",ADM3323
ADM,3326,Advertising and Sales Promotion Management,Theory and practice of advertising and sales promotion in the context of the integrated marketing communications field. Focus on the strategy and tactics of creative and media decisions in advertising.,ADM3326
ADM,3333,Staffing Organizations,"In-depth study of external and internal staffing policies and practices in organizations. HR Forecasting, recruitment, selection, human rights and employment equity issues in staffing, identification and validation of selection criteria and techniques, career and succession planning, destaffing, and the relationship between the staffing process and other organizational processes.",ADM3333
ADM,3334,Industrial Relations,"Theories of industrial relations, structure and functions of labour organizations, union-management relations, employer-employee relations, legislation and policies regulating industrial relations, negotiation and administration of collective agreements and bargaining outcomes.",ADM3334
ADM,3337,Compensation Administration,"Economic and non-economic rewards, compensation, performance and satisfaction, job analysis, evaluation and internal comparisons, pay surveys and external comparisons, pay structure, merit pay, incentive pay and benefits, impact of pay equity legislation and collective bargaining on compensation.",ADM3337
ADM,3340,Intermediate Accounting II,"Continuation of ADM 2342. In this course, concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the liabilities and equity of an organization.",ADM3340
ADM,3345,Taxation I,Provides a general knowledge of the Canadian Federal Income Tax system as it relates to individual taxpayers. The course includes the tax provisions for calculating all sources of taxpayer income to arrive at taxable income and the calculation of income taxes payable by an individual taxpayer.,ADM3345
ADM,3346,Cost Accounting,"An in-depth study of the principal concepts and techniques of cost analysis and cost management within the organization. The major part of the course concentrates on a mastery of the different cost accumulation systems, such as job order and process costing and cost analysis such as variance analysis. Special attention is given to the implications and integration of the different methods, techniques and studies related to the formal accounting system in the firm.",ADM3346
ADM,3349,Auditing Theory,"Definition of auditing. Concepts of management assertions, audit objectives, evidence, materiality and risk, internal control, audit planning, and reporting as applied to financial statements. Professional ethics, legal liability, and the responsibilities of auditors to society are also addressed.",ADM3349
ADM,3350,Corporate Finance,"Credit management, capital budgeting under risk, capital structure, dividend policy, mergers and acquisitions, leasing, introduction to derivates, introduction to corporate risk management.",ADM3350
ADM,3351,Fixed Income Investments,"Markets for debt instruments, term structure of interest rates, bond valuation, duration analysis, bond portfolio management and immunization, fixed income derivatives.",ADM3351
ADM,3352,Portfolio Management,"Modern portfolio theory, the capital asset pricing model, the arbitrage pricing theory, portfolio selection, efficient markets, active portfolio management and performance measurement.",ADM3352
ADM,3357,Applied Investment Fund Management Module I,"Students will oversee a portfolio of Canadian equity securities, with investments made via funds donated to the program. Emphasis is on applied equity valuation and portfolio management. Comprising a two-academic year program, students must complete Module I (3 credits) in Fall of the two year program, attend financial presentations, trip to Toronto, portfolio team meetings and portfolio management activities on an ongoing basis throughout the remainder of the academic year, and end with completion of Module II (3 credits) in Winter of the second year of the program.",ADM3357
ADM,3358,Multinational Business Finance,"The international financial environment, foreign exchange markets and derivatives, managing transaction and economic exposures, foreign investment and financing decisions, and managing mutinational operations.",ADM3358
ADM,3360,Business Law,"A foundation course in law that aims to introduce the student to the fundamental concepts of the common law. It comprises a study of the Canadian legal system, principles of statutory interpretation, the role of precedent in judicial decisions, the basic elements of contract law, negligence and product liability, and certain important concepts in property law such as land tenure, mortgages, landlords and tenant and personal property.",ADM3360
ADM,3363,Healthcare Informatics for Managers,"Assess healthcare analytics from a data perspective, specifically how patient data is acquired, turned into information and translated into knowledge; how healthcare information systems are designed and evaluated; how different systems such as clinical, electronic health records and public health systems function and are integrated; how the benefits and barriers of e-health systems including security, privacy, ethical and legal issues are assessed.",ADM3363
ADM,3378,Emerging Topics in Management Information Systems,Emerging topics in the Management of Information Systems including green IT; cloud computing; social media in general and social networks in particular; mobile technologies; sustainability; IT security; auditing and ethics; feasibility assessments. Topics may vary with each offering of the course based on emerging trends in IT and its management.,ADM3378
ADM,3379,"Systems Analysis, Development, and Performance","Systemic methodology for analyzing business problems or opportunities and the role of technologies in addressing business needs; articulating business requirements for technology solutions; high-level logical system characteristics including business process requirements and data design; formal methodologies for converting business requirements into solution characteristics and technical specifications; business process (re-)design and change management; systems acquisition alternatives and feasibility based on cost/benefit, ethical, cultural and legal considerations.",ADM3379
ADM,3396,Seminar in Administration,The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.,ADM3396
ADM,4103,Project Management,"An overview of project management including; projects selection, project scope definition, stakeholders analysis, the logical framework method, the project charter, project design and feasibility studies project planning and monitoring, risk management, and lessons learned with special emphasis on Information Technology projects. ADM courses at the 4000 level are reserved for: 1) B.Com. students who have completed at least 33 units from ADM core courses, including ADM 2381/2781; 2) Students completing a minor in Business Administration or a minor in Management Information Systems; 3) Students in the certificate programs of the Telfer School when these courses are part of certificate requirements.",ADM4103
ADM,4307,Business Forecasting Analytics,"Advanced predictive analytics methods for business and management; time series analysis, econometric modeling, growth models, substitution and diffusion models, opinion polling, technology forecasting; selection of appropriate prediction techniques, collection and use of data, critical evaluation of results. Overview of advanced quantitative and qualitative techniques and of their context of utilization via presentations, projects and in-class discussions.",ADM4307
ADM,4311,Strategic Management,"This course integrates knowledge attained from prior courses combined with the latest strategy frameworks and analytical concepts. Students must examine and resolve the complex decisions top managers face in today's globally competitive world. Pedagogically, the course utilizes the case study method, which encourages student centered learning, real business analysis, and group participation. As an introductory course in strategy, the emphasis is placed on the fundamental tools of strategic formulation, competitive and market analysis, developing resource and organizational capabilities, shaping strategic fit, and leading organizational integration, with the aim of improving a firm's long-term performance.",ADM4311
ADM,4312,Management in the New Economy,"Brief overview of the traditional model for strategy making; new business models and their strategy implications in the new economy, i.e. an economy based on information technology and on companies focused on leveraging the Internet. Modern strategy themes include emergent strategy, system thinking, business webs and disruptive technologies. Practical learning experience as students explore the value propositions of thirty new economy companies.",ADM4312
ADM,4315,Strategic Entrepreneurship,"Strategic entrepreneurship, encompassing entrepreneurship in existing large and small firms and in not-for-profit organisations. Strategic entrepreneurship emphasises simultaneity in opportunity-seeking behaviours - supported by entrepreneurial leadership and an entrepreneurial culture - and advantage-seeking behaviours - supported by strategic management of resources.",ADM4315
ADM,4316,Management of Innovation,"The Innovation process, from discovery to diffusion; intellectual property, innovation financing, organization design and strategy for innovation. Successful frameworks, strategies, funding techniques, business models, risks, and barriers for introducing break-through products and services.",ADM4316
ADM,4317,"Leadership, Strategy and Sustainability","Corporate social responsibility (CSR) and sustainability at multiple levels  self, others, the organization and society. Personal values, ethics, beliefs and attitudes and their relation to CSR and sustainability. Emphasis upon action, with the opportunity for leadership development. Social entrepreneurship, B-Corps, carbon-negative enterprises, regenerative business models, cradle-to-cradle design thinking, the circular economy.",ADM4317
ADM,4318,Multinational Business Policy,"Stages of multinational organization: exports, foreign direct investment, joint ventures and licensing agreements, mergers and acquisitions.  Managing multinational corporations, regional and global strategies: organization and structures, adjusting to cultural differences and political risk assessment.  Governments and multinational corporations (MNCs) relations: benefits of MNCs for host countries and national investment policies.  Corporate responsibility: ethics, environment and labour standards.",ADM4318
ADM,4319,Strategic Management in Developing and Emerging Economies,"Strategic management in developing and emerging economies, with an emphasis on the interconnection between business growth and equitable development. Poverty, inequality, technological and institutional gaps remain significant hurdles to competitive performance, economic development and global business integration; the strategies, policies, organizational and institutional changes required to address these challenges are examined. Development issues and approaches are considered from multiple perspectives, particularly those of managers and policymakers.",ADM4319
ADM,4322,Marketing Strategy,"This capstone course in marketing provides a hands-on experience to students in developing a marketing strategy in a competitive environment.  Students are expected to work in groups on marketing projects sponsored by companies.  This project-oriented course uses case studies and/or marketing simulation, in addition to regular lectures.",ADM4322
ADM,4325,Promotional Planning Practicum,"A highly applied course with a mix of formal lectures and group research activities, in which students work in groups to address the strategic promotional mandate from a major corporate sponsor. Each group will first develop and implement a primary and/or secondary market research project to gather a portion of the necessary intelligence. Then, using the pooled research reports, each group will develop a detailed strategic promotional plan. At the conclusion of the course, the teams with the three best promotional plans will compete in a public presentation known as the Michel Cloutier Marketing Competition.",ADM4325
ADM,4326,Digital Marketing Technologies,"The Internet and a wide range of related digital technologies have changed the way businesses design and implement marketing strategies. This course focuses on the strategic and tactical applications of these ever-changing digital marketing technologies on decision-making and strategy formulation in areas such as business intelligence gathering, competitive analysis, customer analysis, customer relationship management, supply chain management, new product development, branding, positioning, promotion, and advertising, services management, and e-commerce. Hands-on experience with selected technologies/tools may be provided.",ADM4326
ADM,4328,International Marketing,"Strategic approach for international markets. Markets selection and segmentation: formulation of the international marketing mix programs; international marketing strategies for small, medium and multinational firms.",ADM4328
ADM,4329,Personal Selling,"Personal visits and personal contacts remain the most effective way of building a committed relationship between a buyer and a seller, especially in business markets.  The course will focus on the acquisition of essential selling skills required to meet the challenges facing sales professionals and on the development of expertise to retain customers and expand business opportunities.",ADM4329
ADM,4336,Occupational Health and Safety,"This course recognizes the leadership role that HR professionals take on the issues of workplace health, safety, and workers compensation. It reviews current legislation, and good management practice re: hazard management, accident investigation, emergency preparedness, managing physical & psychological toxic elements in the workplace, and diversity management (e.g. attending to the health/safety concerns of special-needs populations).",ADM4336
ADM,4337,Managing Change,"Strategic management of change in organizations: change agent-client relationships, managing large scale systems change, process consulting skills, intervention techniques and change management, evaluation of change efforts and effectiveness.",ADM4337
ADM,4338,International Training and Development for Sustainability,Organizations that wish to be globally competitive need to learn how to innovate sustainably. Both human resource development specialists and global managers need to know how to inculcate the competencies that will enable their employees require to perform their current jobs and maximize their career potential. Students will learn how to connect global sustainability strategies and performance appraisals to training needs; to resolve the staffing/training tradeoff; to diagnose learning styles and design training and career development plans; to deliver professional development programs; and to evaluate the effectiveness of such programs.,ADM4338
ADM,4339,Strategic Human Resources Planning,"This integrative, capstone course for the HRM option is designed to teach prospective human resource professionals how to plan and make decisions about the allocation and alignment of human resources, within a given organizational strategy. You will acquire technical knowledge related to traditional human resource planning activities, such as forecasting demand and ascertaining supply of human resources, and implementing a succession management program.",ADM4339
ADM,4340,Cases Studies in Accounting,"The cases studied in this course present an opportunity for students to integrate the knowledge acquired in previous accounting, tax, auditing and finance courses while putting into practice the knowledge acquired in other management courses in the process of making multidisciplinary decisions . Students are also able to improve their ability to address problems in multisubject and comprehensive cases.",ADM4340
ADM,4341,Advanced Auditing,This advanced course in auditing examines the role of the auditing profession and audit in society. The general assurance framework and its concepts are addressed. Audit and assurance concepts are applied to a range of specific engagement types. Current issues facing the profession are explored.,ADM4341
ADM,4342,Seminar in Accounting Theory,"Discussions on the role of accounting in business and in society. Topics include relevant theories for accounting development and standard-setting, professional judgement and other emerging issues within accounting and the accounting profession.",ADM4342
ADM,4344,Taxation II,"Gives an in-depth knowledge of corporate taxation and of tax planning for the company, its managers and shareholders. The course includes calculation of corporate income tax, tax implications of the distribution of retained earnings, and the tax implications of owner/manager decisions regarding remuneration, incorporation and succession planning.",ADM4344
ADM,4345,Management Control Systems,"Integrates the various concepts of procedures that make up a managerial planning and control system from an accounting, performance measurement, behavioural, organisational design, and strategy implementation point of view. The course emphasizes modern performance measurement and control techniques in the context of changing competitive environments.",ADM4345
ADM,4346,Accounting Information Systems Auditing,Information technology and accounting information systems as they affect the internal and external auditor are introduced. The modifications to traditional compliance and substantive auditing techniques that are necessary to address the automated business world are explored.,ADM4346
ADM,4348,Special Topics in Financial Accounting,"Covers specialized topics in financial reporting, including accounting for not-for-profit organizations, leases, benefit plans, and corporate income taxes.",ADM4348
ADM,4349,Advanced Accounting,"Covers advanced topics in financial reporting, including long-term investments, business combinations, consolidations, and foreign currency translation.",ADM4349
ADM,4350,Equity Valuation,"Securities analysis, financial statement analysis, free cash flow and valuation, relative valuation, and value-enhancing strategies.",ADM4350
ADM,4351,Options and Futures,"Derivatives markets, risk neutral valuation, option pricing models, option strategies, convertible securities and warrants, forward and futures contracts, index futures, and swaps.",ADM4351
ADM,4352,Advanced Corporate Finance,"Advanced topics in capital budgeting and strategy, real options, capital structure, dividend policy, agency theory, corporate governance, mergers and acquisitions, and empirical studies of corporate performance.",ADM4352
ADM,4354,International Financial Management,"Foreign exchange markets, exchange rate determination, international money and capital markets, currency futures, options, and swaps, corporate exposure management, and international investing.",ADM4354
ADM,4355,"Finance, Ethics and Social Responsibility","Ethical issues specific to the financial sector, ethical decision making, societal impact of finance decisions, impact of responsible investing, and links among corporate governance, reporting practices and socially responsible behavior.",ADM4355
ADM,4356,Alternative Investments and Risk Management,"Non-traditional alternative investments such as mutual funds, hedge funds, real estate, commodities, and income trusts. Basic concepts of risk management, including risk identification and analysis; likelihood of risks; types of risks affecting property, income, responsibility, and decision-making in risk management.",ADM4356
ADM,4357,Applied Investment Fund Management Module II,"Students will oversee a portfolio of Canadian equity securities, with investments made via funds donated to the program. Emphasis is on applied equity valuation and portfolio management. Comprising a two-academic year program, students must complete Module I (3 credits) in Fall of the two year program, attend financial presentations, trip to Toronto, portfolio team meetings and portfolio management activities on an ongoing basis throughout the remainder of the academic year, and end with completion of Module II (3 credits) in Winter of the second year of the program.",ADM4357
ADM,4363,Business Optimization Analytics,"Advanced prescriptive analytics techniques such as optimization and queuing theory in applied settings. Businesses are awash in data but often have little sense as to how that data ought to be used to develop policy. Students will also learn how to use these techniques to help businesses better manage processes in a data-driven fashion, while understanding the limitations of analytical tools.",ADM4363
ADM,4377,Digital Enterprise Systems and Strategies,Current trends and case studies in technology enabled business models and strategies; Usability principles for web and mobile environments; Cyber security and risk management; Mobile commerce applications; Business applications and ecosystems for cloud computing and web services; Enterprise applications and best practices for social media; requirements and solutions for web and social analytics.,ADM4377
ADM,4378,Business Communications Networks,"Networking fundamentals including elements of data communications, Internet and transport protocols. Internet applications. Local and Wide Area Networks. Virtual Private networks. Wireless LAN. Network Security. Network Management. Management of emerging technologies, and current market trends. Topics related to telecom equipment vendors, and service providers, their products and services, and the competitive environment in telecom market.",ADM4378
ADM,4379,Management and Implementation of Web Technologies in Organizations,"Implementation of Web-based systems as a critical component of organizations.  Web-based technologies as central elements of organizational structures.  Critical analysis of the usage of web technologies in organizations and the integration of web technologies and business needs.  Internet-based computer systems for management and decision-making in organizations, principles of analysis, design and development of web-based systems, practical experience with web development tools and hand coding of web pages and web sites for organizational and management needs.",ADM4379
ADM,4396,Seminar in Administration,The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.,ADM4396
ADM,5300,Data Analysis,"Managerial methods and applications of manual and computer based data collection and presentation techniques. Descriptive statistics, probability concepts, uniform and normal probability distributions, sampling and the central limit theorem, point and interval estimation, large and small sample inferences for means and proportions, type I and type II errors, linear regression.",ADM5300
ADM,5310,Public Sector and Business,"Working of the private and public sectors in modern societies and of their interrelations. Public decision-making at the federal, provincial and local level; impact of social and economic regulation; choice of governing instruments; government and business perspectives on government-business relations; lobbying and other mechanisms through which business can influence government. Government-business relations in international context.",ADM5310
ADM,5320,Marketing,"Marketing decision-making for managers. The marketing concept; segmentation; product differentiation; consumer and industrial buyer behaviour; marketing planning; product decisions, pricing decisions; advertising and promotion decisions; selling and distribution decisions; social, legal and ethical issues in marketing.",ADM5320
ADM,5330,Organizational Behavior,"Theories, methods and applications of behaviour science in organizations. Work motivation, job design, group dynamics, leadership, contingency organization design, organization culture, conflict management and managing organizational change.",ADM5330
ADM,5331,Human Resource Management,"Human Resource Management models, workforce diversity, human rights and employment equity, human resource strategies and planning, job analysis, recruitment, selection, orientation, training, appraisal, career planning and development, compensation and pay equity, employee and labour relations, occupational health and safety.",ADM5331
ADM,5341,Financial Accounting,"Conceptual framework of financial reporting, the accounting cycle, financial statements, accounting for assets and liabilities, measurement of income, accounting for partnerships and corporations, accounting for government and non-profit organizations, and analysis and interpretation of financial statements.",ADM5341
ADM,5342,Managerial Accounting,"Cost analysis and estimation, cost/volume/profit relationships, profit planning, control of operations, motivation and performance measurement, relevant costs and decision-making, and managerial accounting in the new industrial environment.",ADM5342
ADM,5350,Principles of Finance,"Canadian financial markets, the fiscal environment, present value analysis, risk and asset valuation, capital budgeting under certainty, long-term financing, leverage and the cost of capital, and working capital management.",ADM5350
ADM,5351,Managerial Microeconomics,"Consumer demand, production, technology and cost functions, pricing and market structure, and economic analysis of Canadian public policy towards business.",ADM5351
ADM,5352,Managerial Macroeconomics,"National accounting, aggregate economic models, fiscal and monetary policies in an open economy, inflation and unemployment, and economic indicators and forecasting.",ADM5352
ADM,5360,Strategic Management and Policy I,"The top management function in the organization, framework and methodology of strategic management, strategy formulation based on environmental analysis, organizational resources and competencies, and the values of the decision-makers.",ADM5360
ADM,5361,Strategic Management and Policy II,"This course completes ADM 5360. Problems of top management related to the implementation of strategy, relationships between strategy and organizational dimensions such as its structure, management systems and processes and organizational culture, evaluated from a global perspective; implementation of strategic change.",ADM5361
ADM,5370,Information Management,"Conceptual and technical foundations for information systems; role of information systems at the operational, tactical and strategic levels in the organization; managerial overview of information systems technology, software, database management systems, and telecommunication systems; methodology for information systems development.",ADM5370
ADM,5380,Decision Models for Operations Management,"Quantitative methods for the management of operations in service and production oriented organizations; models for operations planning, design and control; facility location, capacity, and distribution planning; project management; operations scheduling; inventory analysis and control; quality assurance.",ADM5380
ADM,6260,Project Management I (1.5 unit),"Project management methods based on standards, including the Guide to Project Management Body of Knowledge (PMBOK) of the Project Management Institute (PMI); project success and stakeholders; project charter and project plan; managing a project throughout its life cycle (identification, design, planning, realization and close-out). Students will have hands-on experience using MS Project.",ADM6260
ADM,6261,Project Management II (1.5 unit),"Focus on projects that have incomplete and/or unstable requirements such as IT projects or software development projects. Topics covered include: portfolio management; risk management; determining requirements and solutions; quality management; communication management; design methods (Quality Function Deployment, Value Analysis); iterative and adaptive project management; fast tracking and concurrent methods of project management.",ADM6261
ADM,6271,Business Telecommunications Systems (1.5 unit),"Concepts of voice, data, image and video communications and their integration into local and long distance networks. Business communication systems examples.",ADM6271
ADM,6274,International E-Business Strategies (1.5 unit),"International trends in the global economy together with assessment of risks, and associated international e-business opportunities. Strategies for translating international opportunities into e-businesses, including localizing international web-based content, developing international supply networks, international crowdsourcing, international payments and international collaboration. How to address local laws on privacy, intellectual property and business contracts.",ADM6274
ADM,6275,Business Intelligence Technologies and Big Data Analytics (1.5 unit),"Business Intelligence (BI) as a concept; review of major BI tools and methods; identification of the right types of BI for different types of decision making environments; introduction to Big Data; business applications of Big Data; review of the supporting technologies such as data bases and data warehouses and Big Data Platforms for integrating structured and unstructured data including Hadoop, sandbox analytics; streaming analytics, and advances in data warehousing appliances that accelerate analytics.",ADM6275
ADM,6276,Enterprise Resource Planning Systems Management (1.5 unit),"Planning, process development and implementation of Enterprise Resource Planning (ERP) systems. Enterprise modeling. Workflow process management. ERP industry and trends. Selection of ERP systems. System implementation issues. Change management issues. Inter-organizational information systems. Post-implementation issues. Emerging trends and management issues. Cases in the public and private sector.",ADM6276
ADM,6277,E-Business Energy Management (1.5 unit),"Reduction of e-business power requirements by locating data centres in areas with low cost electricity and where cold outside air can be used for cooling, e.g. British Columbia, Québec, Finland, Iceland and Sweden. Reduction of power requirements in other industries, e.g. using smart grid, smart buildings and smart cities. Calculation of energy requirements for specific e-business services, e.g. e-banking, e-newspapers, media download, media streaming and web-based advertising. Review of current international standardization work on sustainability for and by IT.",ADM6277
ADM,6279,Socio-Technical Change (1.5 unit),"This course explores the structural-, cultural- and process-based organizational change management challenges facing business strategists during new technology implementation initiatives. Toward this, the course draws upon management frameworks, support tools and best practices for the joint optimization of technology and social subsystems within organizations. Adopting a complex adaptive system viewpoint of the organization, the course will highlight issues of technological and social embeddedness, and illustrate the use of configuration modeling and analysis tools for enterprise engineering and strategy models to facilitate change sustainability and continuity.",ADM6279
